venta_id,producto_id,cantidad,precio_unitario,descuento_porcentaje,subtotal
45,6,6,1100,0,6600.0
45,2,1,950,10,855.0
45,41,1,2500,15,2125.0
45,3,1,1200,5,1140.0
46,28,1,8500,0,8500.0
46,19,1,350,0,350.0
47,37,1,950,0,950.0
47,38,1,600,0,600.0
48,40,1,500,10,450.0
48,27,2,3500,0,7000.0
49,7,2,900,0,1800.0
50,13,3,500,0,1500.0
51,31,2,8000,5,15200.0
52,7,4,900,10,3240.0
52,29,3,9000,0,27000.0
52,40,6,500,0,3000.0
53,39,2,1200,0,2400.0
53,21,1,380,0,380.0
54,3,1,1200,0,1200.0
54,22,2,250,0,500.0
54,12,1,600,0,600.0
54,39,1,1200,0,1200.0
54,43,3,1500,0,4500.0
55,21,2,380,0,760.0
56,4,2,1000,0,2000.0
57,20,1,380,0,380.0
57,25,2,330,0,660.0
57,40,1,500,0,500.0
57,10,3,950,0,2850.0
58,31,2,8000,0,16000.0
59,4,1,1000,10,900.0
59,42,3,800,0,2400.0
60,30,1,9500,10,8550.0
60,11,1,750,0,750.0
60,42,2,800,10,1440.0
60,5,3,850,5,2422.5
61,3,1,1200,0,1200.0
62,25,3,330,0,990.0
62,28,3,8500,0,25500.0
63,45,1,900,0,900.0
64,2,3,950,10,2565.0
65,13,1,500,0,500.0
65,38,1,600,0,600.0
66,16,1,350,0,350.0
67,20,1,380,0,380.0
68,35,1,11000,0,11000.0
69,45,1,900,0,900.0
69,7,1,900,0,900.0
70,18,3,400,0,1200.0
70,35,1,11000,15,9350.0
71,23,1,320,0,320.0
71,30,2,9500,0,19000.0
71,31,2,8000,0,16000.0
72,31,1,8000,0,8000.0
72,43,2,1500,0,3000.0
72,7,3,900,15,2295.0
73,34,2,9500,10,17100.0
73,5,1,850,0,850.0
74,24,1,400,0,400.0
74,2,2,950,0,1900.0
75,34,2,9500,0,19000.0
76,35,1,11000,0,11000.0
76,34,1,9500,0,9500.0
76,15,1,800,0,800.0
76,27,1,3500,15,2975.0
76,30,1,9500,0,9500.0
77,16,1,350,0,350.0
77,23,3,320,0,960.0
77,30,3,9500,0,28500.0
78,14,2,450,0,900.0
79,1,1,800,0,800.0
79,41,2,2500,0,5000.0
79,38,3,600,0,1800.0
80,10,2,950,0,1900.0
80,8,1,1050,0,1050.0
80,17,1,280,0,280.0
81,21,1,380,0,380.0
81,18,1,400,0,400.0
82,41,1,2500,0,2500.0
83,45,2,900,0,1800.0
83,9,1,1150,0,1150.0
83,11,3,750,0,2250.0
84,11,1,750,0,750.0
84,19,1,350,0,350.0
84,40,1,500,0,500.0
84,28,1,8500,0,8500.0
85,1,1,800,0,800.0
85,32,1,7500,5,7125.0
86,19,6,350,10,1890.0
87,28,3,8500,0,25500.0
88,20,3,380,0,1140.0
89,3,3,1200,0,3600.0
89,27,2,3500,10,6300.0
89,35,1,11000,0,11000.0
90,30,1,9500,0,9500.0
91,38,3,600,0,1800.0
92,44,2,650,0,1300.0
93,10,2,950,0,1900.0
93,7,1,900,0,900.0
94,7,1,900,0,900.0
95,13,1,500,0,500.0
95,44,1,650,10,585.0
95,30,2,9500,10,17100.0
96,37,1,950,0,950.0
96,31,3,8000,0,24000.0
97,10,3,950,0,2850.0
98,42,3,800,5,2280.0
98,37,1,950,15,807.5
98,44,1,650,0,650.0
99,19,3,350,0,1050.0
99,16,6,350,5,1995.0
99,33,2,10000,0,20000.0
100,21,1,380,0,380.0
100,8,3,1050,0,3150.0
100,6,12,1100,0,13200.0
100,26,1,280,15,238.0
101,32,1,7500,0,7500.0
102,17,1,280,0,280.0
102,12,1,600,0,600.0
102,28,2,8500,0,17000.0
103,2,1,950,0,950.0
103,5,3,850,0,2550.0
103,1,3,800,10,2160.0
104,20,1,380,15,323.0
104,38,2,600,0,1200.0
105,37,4,950,0,3800.0
106,16,1,350,0,350.0
107,25,1,330,0,330.0
107,43,1,1500,0,1500.0
107,11,2,750,15,1275.0
107,10,3,950,0,2850.0
108,15,4,800,5,3040.0
108,38,3,600,0,1800.0
109,28,1,8500,0,8500.0
110,43,2,1500,5,2850.0
110,8,1,1050,0,1050.0
111,35,6,11000,0,66000.0
112,28,1,8500,15,7225.0
112,22,1,250,0,250.0
113,4,2,1000,0,2000.0
113,10,1,950,0,950.0
114,31,3,8000,0,24000.0
114,37,12,950,5,10830.0
115,23,2,320,0,640.0
115,13,2,500,0,1000.0
116,6,1,1100,0,1100.0
116,43,12,1500,0,18000.0
116,4,1,1000,0,1000.0
117,18,6,400,0,2400.0
118,31,2,8000,0,16000.0
118,7,1,900,0,900.0
119,4,2,1000,0,2000.0
120,13,2,500,0,1000.0
121,21,1,380,0,380.0
121,43,1,1500,0,1500.0
121,31,2,8000,0,16000.0
122,33,2,10000,0,20000.0
122,24,1,400,0,400.0
123,19,3,350,0,1050.0
123,26,6,280,0,1680.0
123,29,1,9000,0,9000.0
124,34,1,9500,0,9500.0
124,8,1,1050,0,1050.0
124,33,2,10000,0,20000.0
125,42,3,800,0,2400.0
126,40,1,500,0,500.0
126,12,3,600,0,1800.0
127,18,2,400,0,800.0
128,34,2,9500,0,19000.0
129,8,1,1050,15,892.5
129,38,1,600,0,600.0
129,41,3,2500,0,7500.0
130,12,4,600,0,2400.0
131,18,1,400,0,400.0
132,23,2,320,0,640.0
133,21,1,380,0,380.0
134,22,1,250,0,250.0
134,35,2,11000,0,22000.0
135,40,6,500,0,3000.0
135,19,1,350,0,350.0
136,40,1,500,0,500.0
136,21,3,380,0,1140.0
137,21,2,380,0,760.0
138,28,2,8500,0,17000.0
138,3,3,1200,0,3600.0
139,41,2,2500,0,5000.0
140,34,1,9500,0,9500.0
140,23,2,320,0,640.0
140,44,1,650,0,650.0
141,12,1,600,5,570.0
142,36,1,800,0,800.0
142,14,1,450,5,427.5
143,26,1,280,0,280.0
144,45,1,900,0,900.0
144,3,3,1200,0,3600.0
144,32,2,7500,15,12750.0
145,41,1,2500,0,2500.0
145,4,3,1000,15,2550.0
145,10,2,950,0,1900.0
146,27,2,3500,0,7000.0
146,1,1,800,0,800.0
147,35,6,11000,0,66000.0
147,16,2,350,5,665.0
147,2,1,950,0,950.0
148,24,1,400,0,400.0
148,6,1,1100,0,1100.0
148,39,4,1200,0,4800.0
148,10,1,950,5,902.5
149,17,1,280,0,280.0
149,45,1,900,0,900.0
149,13,3,500,0,1500.0
150,36,1,800,10,720.0
151,32,1,7500,0,7500.0
151,10,1,950,0,950.0
152,37,1,950,0,950.0
153,25,4,330,15,1122.0
154,34,3,9500,5,27075.0
155,11,6,750,0,4500.0
156,41,2,2500,0,5000.0
156,18,2,400,5,760.0
157,15,1,800,0,800.0
158,8,2,1050,0,2100.0
158,17,6,280,0,1680.0
159,17,4,280,0,1120.0
160,6,1,1100,0,1100.0
161,4,1,1000,5,950.0
161,41,1,2500,0,2500.0
161,9,3,1150,10,3105.0
161,32,1,7500,0,7500.0
162,2,1,950,0,950.0
163,1,1,800,0,800.0
164,14,1,450,10,405.0
164,6,3,1100,0,3300.0
165,32,1,7500,0,7500.0
165,9,1,1150,5,1092.5
165,15,3,800,0,2400.0
166,19,2,350,15,595.0
167,21,3,380,0,1140.0
167,12,1,600,0,600.0
167,15,2,800,0,1600.0
168,34,1,9500,5,9025.0
169,35,1,11000,0,11000.0
170,30,1,9500,0,9500.0
171,13,1,500,5,475.0
171,27,1,3500,0,3500.0
172,9,1,1150,0,1150.0
172,2,1,950,0,950.0
172,40,2,500,15,850.0
173,43,3,1500,0,4500.0
174,15,1,800,5,760.0
174,10,1,950,0,950.0
175,22,3,250,0,750.0
176,23,2,320,0,640.0
176,20,1,380,0,380.0
176,26,3,280,0,840.0
176,21,2,380,0,760.0
177,35,1,11000,0,11000.0
178,45,3,900,0,2700.0
178,44,2,650,0,1300.0
178,2,1,950,15,807.5
179,33,1,10000,0,10000.0
180,28,1,8500,10,7650.0
180,18,3,400,0,1200.0
180,7,2,900,0,1800.0
181,41,3,2500,0,7500.0
181,13,1,500,0,500.0
181,27,1,3500,5,3325.0
181,45,2,900,0,1800.0
181,12,1,600,0,600.0
182,27,2,3500,10,6300.0
182,4,2,1000,0,2000.0
182,9,2,1150,10,2070.0
183,3,2,1200,0,2400.0
184,26,1,280,0,280.0
184,3,1,1200,5,1140.0
184,37,1,950,5,902.5
185,5,6,850,0,5100.0
186,36,4,800,0,3200.0
186,35,2,11000,0,22000.0
187,11,1,750,5,712.5
188,28,1,8500,0,8500.0
188,21,2,380,10,684.0
188,25,2,330,0,660.0
189,29,2,9000,10,16200.0
190,14,2,450,5,855.0
190,26,2,280,0,560.0
190,35,1,11000,15,9350.0
191,8,1,1050,5,997.5
191,15,2,800,0,1600.0
192,43,1,1500,0,1500.0
192,9,1,1150,5,1092.5
192,44,4,650,0,2600.0
192,3,2,1200,15,2040.0
192,24,1,400,15,340.0
193,37,1,950,0,950.0
193,35,2,11000,0,22000.0
194,35,1,11000,0,11000.0
194,27,1,3500,0,3500.0
195,8,1,1050,0,1050.0
195,37,1,950,0,950.0
196,24,2,400,0,800.0
196,28,4,8500,10,30600.0
197,10,4,950,0,3800.0
197,45,1,900,15,765.0
198,37,1,950,10,855.0
199,9,3,1150,10,3105.0
199,44,2,650,0,1300.0
200,13,1,500,5,475.0
200,16,1,350,0,350.0
201,21,1,380,10,342.0
201,39,3,1200,10,3240.0
201,35,1,11000,10,9900.0
201,2,1,950,0,950.0
202,7,2,900,0,1800.0
202,25,2,330,0,660.0
203,2,4,950,0,3800.0
203,34,6,9500,0,57000.0
203,38,2,600,0,1200.0
204,15,4,800,5,3040.0
204,30,1,9500,0,9500.0
204,7,1,900,0,900.0
204,34,3,9500,0,28500.0
205,44,4,650,0,2600.0
205,4,2,1000,10,1800.0
205,30,3,9500,0,28500.0
206,15,1,800,10,720.0
206,6,2,1100,0,2200.0
206,32,1,7500,0,7500.0
206,21,2,380,0,760.0
207,22,1,250,0,250.0
207,11,1,750,0,750.0
208,17,4,280,5,1064.0
208,21,1,380,0,380.0
208,43,1,1500,0,1500.0
208,14,1,450,0,450.0
209,36,2,800,0,1600.0
209,7,3,900,5,2565.0
210,37,1,950,0,950.0
210,5,3,850,0,2550.0
211,12,4,600,0,2400.0
211,33,1,10000,0,10000.0
211,17,1,280,0,280.0
212,12,1,600,0,600.0
212,5,2,850,0,1700.0
213,2,1,950,0,950.0
214,39,3,1200,0,3600.0
215,36,2,800,10,1440.0
215,10,1,950,0,950.0
215,16,6,350,0,2100.0
216,2,2,950,0,1900.0
216,15,12,800,15,8160.0
216,5,4,850,10,3060.0
217,3,1,1200,0,1200.0
217,43,1,1500,0,1500.0
217,2,3,950,0,2850.0
218,24,2,400,0,800.0
218,9,1,1150,0,1150.0
218,20,1,380,0,380.0
218,43,1,1500,5,1425.0
219,16,1,350,0,350.0
219,43,1,1500,0,1500.0
220,34,1,9500,0,9500.0
221,18,1,400,10,360.0
221,40,3,500,0,1500.0
221,45,2,900,0,1800.0
221,32,2,7500,10,13500.0
222,13,4,500,0,2000.0
222,34,3,9500,0,28500.0
223,1,3,800,15,2040.0
224,39,2,1200,0,2400.0
225,32,2,7500,0,15000.0
226,7,1,900,10,810.0
227,15,3,800,0,2400.0
227,27,1,3500,0,3500.0
227,6,1,1100,0,1100.0
228,28,2,8500,0,17000.0
228,43,1,1500,15,1275.0
228,17,3,280,0,840.0
229,25,1,330,0,330.0
229,22,4,250,0,1000.0
230,45,1,900,0,900.0
230,24,1,400,10,360.0
231,8,1,1050,0,1050.0
231,38,1,600,10,540.0
231,12,4,600,0,2400.0
232,22,1,250,0,250.0
233,29,1,9000,0,9000.0
233,19,1,350,0,350.0
233,1,1,800,0,800.0
234,45,1,900,0,900.0
234,44,2,650,15,1105.0
234,35,1,11000,0,11000.0
235,1,1,800,15,680.0
235,35,1,11000,15,9350.0
235,29,1,9000,0,9000.0
236,12,1,600,0,600.0
237,18,1,400,10,360.0
238,1,2,800,0,1600.0
238,11,1,750,10,675.0
238,7,1,900,0,900.0
239,32,3,7500,0,22500.0
240,30,2,9500,0,19000.0
240,11,1,750,0,750.0
241,42,1,800,0,800.0
241,45,6,900,0,5400.0
241,5,2,850,0,1700.0
242,44,1,650,0,650.0
242,26,3,280,5,798.0
242,32,4,7500,0,30000.0
243,41,1,2500,0,2500.0
244,41,2,2500,0,5000.0
244,17,1,280,0,280.0
245,25,2,330,0,660.0
245,12,4,600,0,2400.0
245,18,3,400,5,1140.0
246,43,1,1500,5,1425.0
246,9,3,1150,0,3450.0
247,37,1,950,0,950.0
248,4,3,1000,0,3000.0
248,40,1,500,0,500.0
249,36,2,800,0,1600.0
250,8,3,1050,0,3150.0
251,15,2,800,0,1600.0
252,5,1,850,15,722.5
252,45,3,900,15,2295.0
253,31,1,8000,0,8000.0
254,3,2,1200,0,2400.0
254,27,1,3500,0,3500.0
254,18,3,400,0,1200.0
255,32,2,7500,0,15000.0
255,7,1,900,0,900.0
256,14,1,450,0,450.0
256,30,2,9500,0,19000.0
257,11,1,750,0,750.0
257,22,2,250,0,500.0
257,4,1,1000,0,1000.0
258,35,3,11000,0,33000.0
258,27,1,3500,5,3325.0
259,25,3,330,10,891.0
259,18,1,400,0,400.0
260,25,2,330,0,660.0
261,15,1,800,0,800.0
262,24,1,400,0,400.0
263,16,1,350,0,350.0
263,38,2,600,0,1200.0
264,23,1,320,15,272.0
264,18,2,400,5,760.0
265,32,2,7500,0,15000.0
266,16,1,350,0,350.0
267,42,2,800,0,1600.0
267,33,1,10000,0,10000.0
268,17,1,280,0,280.0
269,23,1,320,10,288.0
269,16,1,350,10,315.0
269,18,2,400,0,800.0
270,44,1,650,0,650.0
270,18,2,400,10,720.0
271,22,1,250,10,225.0
271,20,3,380,15,969.0
271,5,1,850,0,850.0
272,9,2,1150,5,2185.0
272,27,2,3500,5,6650.0
273,28,1,8500,10,7650.0
273,32,1,7500,0,7500.0
273,4,6,1000,0,6000.0
274,4,6,1000,0,6000.0
275,25,1,330,10,297.0
275,17,2,280,10,504.0
276,27,1,3500,0,3500.0
276,12,6,600,0,3600.0
276,16,2,350,0,700.0
276,33,2,10000,5,19000.0
276,21,2,380,0,760.0
277,34,1,9500,0,9500.0
278,12,3,600,10,1620.0
279,45,1,900,5,855.0
280,41,6,2500,0,15000.0
280,22,1,250,5,237.5
281,10,6,950,10,5130.0
282,7,3,900,0,2700.0
283,39,4,1200,0,4800.0
284,42,1,800,0,800.0
284,34,1,9500,0,9500.0
285,22,1,250,10,225.0
285,26,1,280,0,280.0
286,45,1,900,0,900.0
287,22,1,250,0,250.0
288,20,2,380,0,760.0
289,40,1,500,0,500.0
289,41,3,2500,0,7500.0
290,6,1,1100,0,1100.0
290,5,3,850,0,2550.0
291,29,1,9000,0,9000.0
291,21,12,380,0,4560.0
291,32,1,7500,0,7500.0
292,36,2,800,0,1600.0
293,10,3,950,0,2850.0
293,1,3,800,0,2400.0
294,38,3,600,0,1800.0
295,20,2,380,5,722.0
295,2,2,950,10,1710.0
295,5,1,850,0,850.0
295,23,3,320,0,960.0
296,29,4,9000,0,36000.0
297,45,1,900,0,900.0
297,19,1,350,15,297.5
297,6,3,1100,5,3135.0
298,9,2,1150,5,2185.0
299,22,1,250,5,237.5
299,43,1,1500,15,1275.0
299,4,2,1000,0,2000.0
300,43,2,1500,0,3000.0
300,29,2,9000,0,18000.0
301,27,1,3500,0,3500.0
302,15,2,800,0,1600.0
302,26,1,280,0,280.0
302,23,1,320,0,320.0
302,40,1,500,0,500.0
303,33,1,10000,0,10000.0
303,23,1,320,0,320.0
303,37,12,950,0,11400.0
303,9,3,1150,0,3450.0
304,32,1,7500,0,7500.0
305,38,3,600,5,1710.0
306,7,2,900,0,1800.0
307,27,2,3500,0,7000.0
308,4,2,1000,0,2000.0
308,42,3,800,0,2400.0
308,32,2,7500,0,15000.0
309,29,1,9000,0,9000.0
310,41,3,2500,0,7500.0
311,41,2,2500,5,4750.0
311,17,6,280,0,1680.0
312,38,2,600,0,1200.0
313,15,2,800,0,1600.0
314,16,3,350,0,1050.0
314,14,2,450,0,900.0
314,5,1,850,0,850.0
315,39,2,1200,0,2400.0
315,6,2,1100,15,1870.0
315,5,3,850,0,2550.0
316,4,3,1000,0,3000.0
317,16,1,350,0,350.0
318,10,3,950,0,2850.0
319,16,1,350,0,350.0
320,2,1,950,0,950.0
321,22,2,250,0,500.0
322,26,1,280,0,280.0
322,24,1,400,0,400.0
322,18,2,400,0,800.0
322,29,2,9000,0,18000.0
323,43,1,1500,0,1500.0
323,39,1,1200,0,1200.0
324,3,1,1200,0,1200.0
325,11,4,750,0,3000.0
326,7,2,900,0,1800.0
326,30,12,9500,15,96900.0
326,26,3,280,0,840.0
326,10,1,950,0,950.0
327,7,1,900,0,900.0
327,30,1,9500,5,9025.0
327,41,3,2500,0,7500.0
328,19,1,350,0,350.0
328,5,1,850,0,850.0
328,28,2,8500,0,17000.0
329,31,4,8000,5,30400.0
329,21,1,380,0,380.0
330,9,1,1150,15,977.5
331,39,3,1200,10,3240.0
331,37,12,950,0,11400.0
332,3,2,1200,0,2400.0
332,10,3,950,0,2850.0
332,35,3,11000,0,33000.0
333,44,3,650,0,1950.0
333,41,2,2500,15,4250.0
333,19,2,350,0,700.0
334,21,1,380,15,323.0
335,24,2,400,5,760.0
335,23,3,320,0,960.0
335,35,3,11000,0,33000.0
336,5,1,850,0,850.0
337,42,6,800,0,4800.0
337,3,1,1200,0,1200.0
337,30,3,9500,0,28500.0
338,43,1,1500,5,1425.0
338,13,3,500,0,1500.0
339,27,1,3500,0,3500.0
340,34,1,9500,0,9500.0
340,39,3,1200,0,3600.0
340,31,2,8000,0,16000.0
340,41,1,2500,0,2500.0
341,7,1,900,0,900.0
341,9,12,1150,5,13110.0
341,30,2,9500,0,19000.0
342,15,1,800,0,800.0
343,22,2,250,0,500.0
344,9,3,1150,0,3450.0
345,11,1,750,0,750.0
345,39,1,1200,15,1020.0
345,22,3,250,0,750.0
345,27,1,3500,0,3500.0
345,24,3,400,0,1200.0
346,17,2,280,5,532.0
347,13,2,500,0,1000.0
347,10,1,950,0,950.0
348,34,1,9500,10,8550.0
349,39,4,1200,0,4800.0
349,1,1,800,0,800.0
350,39,1,1200,0,1200.0
351,9,3,1150,0,3450.0
351,24,1,400,15,340.0
351,11,2,750,15,1275.0
351,21,2,380,5,722.0
351,43,1,1500,0,1500.0
352,6,1,1100,0,1100.0
352,20,2,380,0,760.0
353,14,1,450,0,450.0
354,38,1,600,5,570.0
354,10,2,950,0,1900.0
355,6,4,1100,10,3960.0
355,38,1,600,0,600.0
356,28,1,8500,0,8500.0
356,1,1,800,0,800.0
357,14,2,450,0,900.0
357,9,1,1150,0,1150.0
357,43,1,1500,15,1275.0
358,30,2,9500,0,19000.0
358,14,1,450,0,450.0
359,38,1,600,0,600.0
359,19,3,350,0,1050.0
360,30,1,9500,0,9500.0
360,11,1,750,0,750.0
361,24,2,400,0,800.0
361,36,2,800,10,1440.0
362,21,2,380,0,760.0
362,16,2,350,0,700.0
362,37,1,950,0,950.0
362,14,1,450,10,405.0
363,27,1,3500,0,3500.0
364,44,1,650,15,552.5
365,38,3,600,0,1800.0
366,17,1,280,0,280.0
367,3,1,1200,15,1020.0
367,33,1,10000,5,9500.0
368,24,1,400,0,400.0
368,16,1,350,0,350.0
369,45,12,900,15,9180.0
370,17,1,280,0,280.0
370,38,1,600,0,600.0
370,41,1,2500,0,2500.0
371,43,2,1500,5,2850.0
371,38,2,600,10,1080.0
371,28,1,8500,0,8500.0
371,14,3,450,0,1350.0
372,15,3,800,0,2400.0
372,40,1,500,15,425.0
373,12,12,600,0,7200.0
373,44,1,650,10,585.0
374,16,4,350,0,1400.0
374,24,1,400,5,380.0
374,13,3,500,0,1500.0
374,42,4,800,10,2880.0
374,39,1,1200,0,1200.0
375,21,1,380,0,380.0
375,16,1,350,5,332.5
376,40,1,500,0,500.0
377,2,1,950,10,855.0
378,35,4,11000,0,44000.0
378,11,1,750,10,675.0
379,17,1,280,15,238.0
380,15,4,800,0,3200.0
380,8,3,1050,5,2992.5
381,32,1,7500,0,7500.0
381,26,1,280,0,280.0
382,6,4,1100,0,4400.0
382,23,2,320,0,640.0
383,15,6,800,0,4800.0
384,19,1,350,0,350.0
384,3,2,1200,0,2400.0
385,31,1,8000,10,7200.0
386,6,3,1100,5,3135.0
387,11,2,750,0,1500.0
387,2,6,950,0,5700.0
388,15,1,800,0,800.0
389,29,1,9000,10,8100.0
389,32,2,7500,0,15000.0
389,19,1,350,0,350.0
389,36,6,800,0,4800.0
390,40,2,500,0,1000.0
390,30,2,9500,10,17100.0
390,25,3,330,5,940.5
390,26,1,280,5,266.0
391,7,1,900,0,900.0
391,32,2,7500,0,15000.0
392,1,1,800,0,800.0
392,5,1,850,10,765.0
393,42,3,800,0,2400.0
393,21,12,380,0,4560.0
394,43,6,1500,0,9000.0
395,9,3,1150,0,3450.0
396,20,3,380,0,1140.0
397,45,4,900,0,3600.0
397,37,2,950,0,1900.0
398,31,3,8000,0,24000.0
398,6,1,1100,0,1100.0
398,32,1,7500,0,7500.0
399,1,3,800,0,2400.0
399,19,3,350,0,1050.0
400,21,1,380,0,380.0
400,3,3,1200,0,3600.0
401,1,1,800,0,800.0
402,12,2,600,0,1200.0
402,39,3,1200,0,3600.0
403,23,1,320,5,304.0
403,35,2,11000,15,18700.0
404,41,1,2500,0,2500.0
404,36,2,800,0,1600.0
404,4,12,1000,0,12000.0
405,14,3,450,0,1350.0
405,19,1,350,0,350.0
406,9,3,1150,0,3450.0
406,36,1,800,10,720.0
406,23,4,320,0,1280.0
407,26,3,280,5,798.0
408,1,1,800,0,800.0
408,26,1,280,0,280.0
409,42,1,800,0,800.0
409,44,1,650,0,650.0
410,25,3,330,0,990.0
410,4,1,1000,0,1000.0
411,26,1,280,0,280.0
411,36,1,800,0,800.0
411,15,1,800,0,800.0
412,35,1,11000,0,11000.0
413,2,2,950,0,1900.0
413,18,3,400,0,1200.0
413,7,6,900,0,5400.0
414,10,1,950,0,950.0
414,41,1,2500,0,2500.0
414,34,1,9500,5,9025.0
415,45,3,900,0,2700.0
415,33,1,10000,0,10000.0
416,4,3,1000,0,3000.0
416,3,2,1200,5,2280.0
417,26,1,280,15,238.0
417,40,2,500,0,1000.0
417,32,2,7500,0,15000.0
418,18,2,400,0,800.0
419,35,1,11000,0,11000.0
419,41,2,2500,10,4500.0
420,8,1,1050,0,1050.0
420,22,1,250,0,250.0
421,24,1,400,0,400.0
422,17,1,280,0,280.0
423,27,4,3500,10,12600.0
424,38,2,600,0,1200.0
425,37,2,950,0,1900.0
426,4,1,1000,15,850.0
427,14,1,450,5,427.5
428,15,1,800,0,800.0
429,34,2,9500,0,19000.0
429,5,1,850,0,850.0
429,14,1,450,0,450.0
430,25,1,330,10,297.0
431,27,1,3500,0,3500.0
432,4,1,1000,0,1000.0
432,38,12,600,0,7200.0
433,1,1,800,0,800.0
433,36,1,800,0,800.0
434,7,1,900,10,810.0
434,5,3,850,0,2550.0
434,24,1,400,0,400.0
435,32,1,7500,0,7500.0
435,10,2,950,0,1900.0
436,8,2,1050,0,2100.0
436,40,1,500,10,450.0
437,10,2,950,5,1805.0
438,5,1,850,0,850.0
438,8,1,1050,15,892.5
439,3,3,1200,0,3600.0
440,34,2,9500,10,17100.0
440,44,1,650,0,650.0
441,14,3,450,0,1350.0
441,17,2,280,10,504.0
442,3,1,1200,15,1020.0
443,44,1,650,0,650.0
443,33,1,10000,0,10000.0
443,14,3,450,5,1282.5
444,2,1,950,0,950.0
445,4,1,1000,0,1000.0
445,23,2,320,0,640.0
446,28,1,8500,0,8500.0
447,32,1,7500,0,7500.0
447,9,3,1150,10,3105.0
448,33,2,10000,0,20000.0
448,43,2,1500,5,2850.0
449,43,1,1500,0,1500.0
450,3,1,1200,0,1200.0
451,25,2,330,0,660.0
451,27,1,3500,10,3150.0
451,3,1,1200,5,1140.0
452,11,1,750,5,712.5
452,10,3,950,15,2422.5
452,14,1,450,0,450.0
453,30,1,9500,0,9500.0
454,11,1,750,0,750.0
454,37,1,950,0,950.0
455,26,3,280,0,840.0
455,44,2,650,0,1300.0
455,10,1,950,0,950.0
456,31,2,8000,0,16000.0
456,5,12,850,0,10200.0
456,28,2,8500,0,17000.0
457,29,12,9000,5,102600.0
457,3,1,1200,0,1200.0
457,20,2,380,15,646.0
457,43,1,1500,0,1500.0
457,38,2,600,0,1200.0
458,2,2,950,0,1900.0
458,5,1,850,5,807.5
459,20,3,380,0,1140.0
460,12,1,600,0,600.0
460,30,1,9500,0,9500.0
461,12,3,600,0,1800.0
462,42,2,800,0,1600.0
462,29,1,9000,0,9000.0
463,40,1,500,0,500.0
463,9,6,1150,5,6555.0
464,42,3,800,0,2400.0
464,39,3,1200,0,3600.0
465,20,1,380,0,380.0
465,2,1,950,0,950.0
465,6,1,1100,0,1100.0
465,16,1,350,0,350.0
466,27,1,3500,5,3325.0
466,34,1,9500,0,9500.0
466,24,1,400,0,400.0
467,11,3,750,0,2250.0
467,35,2,11000,5,20900.0
467,28,1,8500,0,8500.0
